zcta5,county14,county,cntyname2,zipname,hus10,afact
ZIP Census Tabulation Area,county14,county,Current County,zipname,"Total HUs, 2010 census",zcta5 to county14 alloc factor
23043,51119, ,Middlesex VA,"Deltaville, VA",1715,1
23045,51115, ,Mathews VA,"Diggs, VA",72,1
23047,51033, ,Caroline VA,"Doswell, VA",129,0.159
23047,51085, ,Hanover VA,"Doswell, VA",682,0.841
23050,51073, ,Gloucester VA,"Dutton, VA",54,0.191
23050,51115, ,Mathews VA,"Dutton, VA",228,0.809
23055,51065, ,Fluvanna VA,"Fork Union, VA",375,1
23056,51115, ,Mathews VA,"Foster, VA",249,1
23059,51085, ,Hanover VA,"Glen Allen, VA",1757,0.144
23059,51087, ,Henrico VA,"Glen Allen, VA",10478,0.856
23060,51087, ,Henrico VA,"Glen Allen, VA",13488,1
23061,51073, ,Gloucester VA,"Gloucester, VA",8854,1
23062,51073, ,Gloucester VA,"Gloucester Point, VA",1150,1
23063,51075, ,Goochland VA,"Goochland, VA",2008,1
23064,51115, ,Mathews VA,"Gwynn, VA",128,1
23065,51075, ,Goochland VA,"Gum Spring, VA",460,0.567
23065,51109, ,Louisa VA,"Gum Spring, VA",351,0.433
23066,51115, ,Mathews VA,"Gwynn, VA",526,1
23068,51115, ,Mathews VA,"Hallieford, VA (PO Boxes)",201,1
23069,51033, ,Caroline VA,"Hanover, VA",283,0.264
23069,51085, ,Hanover VA,"Hanover, VA",564,0.526
23069,51101, ,King William VA,"Hanover, VA",226,0.211
23070,51119, ,Middlesex VA,"Hardyville, VA",227,1
